Statistics,Machine Learning,Deep Learning,R Language,Python Language,NLP,Data Engineering,
statistical models,linear regression,neural network,ggplot,python,nlp,aws,
statistical modeling,logistic regression,keras,shiny,flask,natural language processing,ec2,
probability,K means,theano,cran,django,topic modeling,amazon redshift,
normal distribution,random forest,face detection,dplyr,pandas,Ida,s3,
poisson distribution,xgboost,neural networks,tidyr,numpy,named entity recognition,docker,
survival models,svm,convolutional neural network (cnn),lubridate,scikitlearn,pos tagging,kubernetes,
hypothesis testing,naïve bayes,recurrent neural network(RNN),knitr,sklearn,word2vec,scala,
bayesian inference,pca,object detection,,matplotlib,word embedding,teradata,
factor analysis,decision trees,yolo,,scipy,Isi,google big query,
forecasting,svd,gpu,,bokeh,spacy,aws lambda,
markov chain,ensemble models,cuda,,statsmodel,gensim,aws emr,
monte carlo,boltzman machine,tensorflow,,,nitk,hive,
,,Istm,,,nmf,hadoop,
,,gan,,,doc2vec,sql,
,,opencv,,,cbow,,
,,,,,bag of words,,
,,,,,skip gram,,
,,,,,bert,,
,,,,,sentiment analysis,,
